oldId,newId,grade,moduleId,slug,name,description,example,prerequisiteSuggestion,relatedSuggestion,difficulty,status
make-ten,g1-m0-make-ten,1,M0,1-make-ten,凑十法,把一个数拆成两部分，使其中一部分与另一个数凑成10，再用10加剩下的数。,计算 9+5：把5分成1和4，9+1=10，10+4=14。,,,1,active
make-ten-ping,g1-m0-make-ten-ping,1,M0,1-make-ten-ping,平十法,减法中把减数分成两部分，先用被减数减去与个位相同的部分得整十，再减剩余部分。,15-8：把8分成5和3，15-5=10，10-3=7。,,,1,active
make-ten-po,g1-m0-make-ten-po,1,M0,1-make-ten-po,破十法,减法中把被减数分成10和几，先用10减去减数，再加上剩下的部分。,13-5：把13分成10和3，10-5=5，5+3=8。,,,1,active
addsub-20,g1-m1-addsub-20,1,M1,1-addsub-20,20 以内加减法,在20以内进行不进位、不退位的加减计算，是口算的基础。,13+4=?（答案：17）,,,1,active
count,g1-m4-count,1,M4,1-count,数数与顺序,正确数出物体的个数，并理解数的先后顺序。,从1数到20，第5个数是几？（答案：5）,,,1,active
compose-digit,g1-m4-compose-digit,1,M4,1-compose-digit,数的组成与数位,理解一个数由几个十和几个一组成，认识个位与十位。,17由几个十和几个一组成？（答案：1个十和7个一）,,,1,active
compare,g1-m4-compare,1,M4,1-compare,比大小,会比较100以内数的大小，用符号 >、<、= 表示。,比较 15 和 12。（答案：15 > 12）,,,1,active
clock-hour,g1-m4-clock-hour,1,M4,1-clock-hour,认识钟表（整时）,能认读钟表上的整时，知道时针、分针的指向。,分针指向12、时针指向3是几时？（答案：3时）,,,1,active
patterns,g1-m4-patterns,1,M4,1-patterns,找规律,观察图形或数字的排列，发现并接着填出规律。,"1, 3, 5, 7, （  ）。（答案：9）",,,1,active
money,g1-m4-money,1,M4,1-money,认识人民币,认识元、角、分及它们之间的进率，会进行简单换算。,1元 = ?角（答案：10角）,,,1,active
solid-shapes,g1-m6-solid-shapes,1,M6,1-solid-shapes,认识立体图形,认识长方体、正方体、圆柱、球等立体图形及其特征。,下列立体图形中滚得最快的是？（答案：球）,,,1,active
flat-shapes,g1-m6-flat-shapes,1,M6,1-flat-shapes,认识平面图形,认识长方形、正方形、三角形、圆等平面图形。,红领巾的形状是？（答案：三角形）,,,1,active
shape-compose,g1-m6-shape-compose,1,M6,1-shape-compose,图形拼组,用简单图形拼出新的图形，理解图形之间的关系。,两个完全一样的三角形可以拼成一个？（答案：平行四边形）,,,1,active
position,g1-m6-position,1,M6,1-position,上下左右位置,用上、下、左、右、前、后描述物体的相对位置。,书本在桌子的（  ）面。（答案：上）,,,1,active
picture-equations,g1-m7-picture-equations,1,M7,1-picture-equations,看图列式,根据图中物体的数量列出加减法算式。,图中有3个苹果又画了2个，列式：3+2=5。,,,1,active
chain-mixed,g1-m8-chain-mixed,1,M8,1-chain-mixed,连加连减与加减混合,进行连续相加或相减以及加减混合的计算。,2+3+4=?（答案：9）,,,1,active
solve-problems,g1-m8-solve-problems,1,M8,1-solve-problems,解决问题,读懂简单情境，列出算式解决一步计算的数学问题。,小明有5支笔，又买来3支，现在有几支？（答案：8支）,,,1,active
classify,g1-m9-classify,1,M9,1-classify,分类与整理,按一定标准把物体分类并数出每类数量。,把下列图形按颜色分成两类并计数。,,,1,active
stats-table,g1-m9-stats-table,1,M9,1-stats-table,填写简单统计表,把分类的结果用简单的表格记录下来。,统计全班同学喜欢的水果并填入统计表。,,,1,active
pictograph,g1-m9-pictograph,1,M9,1-pictograph,象形统计图,用一个图形代表一个数量，画出象形统计图。,用○表示人数，3个○表示3人。,,,1,active
addsub-100,g2-m1-addsub-100,2,M1,2-addsub-100,100 以内加减法,掌握100以内的进位加法与退位减法。,35+28=?（答案：63）,,,1,active
muldiv,g2-m1-muldiv,2,M1,2-muldiv,表内乘除法,熟记乘法口诀，进行表内乘除法计算。,6×7=?（答案：42）,,,1,active
remainder,g2-m1-remainder,2,M1,2-remainder,有余数除法,理解平均分后有剩余，认识余数及有余数除法。,10÷3=3……1，余数是？（答案：1）,,,1,active
mixed,g2-m1-mixed,2,M1,2-mixed,混合运算,掌握没有括号的同级或两级混合运算顺序。,3+4×2=?（答案：11）,,,1,active
