kp_id,grade,declared,raw_type,supported,note
math-g2-down-u01-k001,g2,apply,tally,geometry,declared∉supported
math-g2-down-u01-k002,g2,apply,question,calc,declared∉supported
math-g2-down-u02-k004,g2,calc,relation,geometry,declared∉supported
math-g2-down-u04-k008,g2,apply,two-step,calc,declared∉supported
math-g2-down-u04-k009,g2,calc,operator,geometry,declared∉supported
math-g2-down-u08-k001,g2,apply,sudoku,calc,declared∉supported
math-g2-down-u08-k002,g2,apply,logic,calc,declared∉supported
math-g2-mixed-u01-k002,g2,apply,extra,calc,declared∉supported
math-g2-mixed-u01-k004,g2,apply,money,calc,declared∉supported
math-g2-up-u07-k001,g2,apply,combination,calc,declared∉supported
math-g2-up-u07-k003,g2,apply,handshake,calc,declared∉supported
math-g3-down-u03-k001,g3,apply|classify,multiTable|classify,calc|classify,declared∉supported
math-g3-down-u04-k001,g3,calc,twodigit,geometry,declared∉supported
math-g3-down-u08-k001,g3,apply|classify,dress|classify,calc|classify,declared∉supported
math-g3-up-u08-k001,g3,apply|classify,set|classify,geometry|classify,declared∉supported
math-g4-down-u01-k001,g4,calc,brace-addsub,geometry,declared∉supported
math-g4-down-u08-k001,g4,apply,double-bar,calc,declared∉supported
math-g4-down-u08-k002,g4,apply,average,geometry,declared∉supported
math-g4-down-u08-k004,g4,apply,avg-stats,calc,declared∉supported
math-g4-mixed-u01-k002,g4,apply,logic,calc,declared∉supported
math-g4-mixed-u01-k006,g4,apply,segment-multiple,geometry,declared∉supported
math-g4-mixed-u02-k001,g4,apply,mock,geometry,declared∉supported
math-g4-mixed-u02-k002,g4,apply,integrated,geometry,declared∉supported
math-g4-mixed-u02-k003,g4,apply,am,geometry,declared∉supported
math-g4-mixed-u02-k004,g4,apply,perm,geometry,declared∉supported
math-g4-mixed-u02-k005,g4,apply,worst,calc,declared∉supported
math-g4-mixed-u02-k015,g4,apply,logic,calc,declared∉supported
math-g4-mixed-u02-k020,g4,apply,parity,geometry,declared∉supported
math-g4-mixed-u02-k022,g4,apply,place,geometry,declared∉supported
math-g4-mixed-u02-k025,g4,apply,drawer,geometry,declared∉supported
math-g4-mixed-u02-k026,g4,apply,misc,geometry,declared∉supported
math-g4-mixed-u02-k027,g4,apply,extreme,geometry,declared∉supported
math-g4-mixed-u02-k028,g4,apply,enum,geometry,declared∉supported
math-g4-mixed-u02-k029,g4,apply,train,geometry,declared∉supported
math-g4-mixed-u02-k030,g4,apply,basic,geometry,declared∉supported
math-g4-mixed-u02-k031,g4,apply,river,geometry,declared∉supported
math-g4-mixed-u02-k032,g4,apply,meet,geometry,declared∉supported
math-g4-mixed-u02-k033,g4,apply,chase,geometry,declared∉supported
math-g4-up-u02-k002,g4,apply,area-hectare,geometry,declared∉supported
math-g4-up-u06-k005,g4,calc,quotient-law,geometry,declared∉supported
math-g4-up-u07-k001,g4,apply,bar-chart,calc,declared∉supported
math-g5-down-u02-k001,g5,apply,factor-multiple,geometry,declared∉supported
math-g5-down-u02-k002,g5,apply,factor-multiple,geometry,declared∉supported
math-g5-down-u02-k003,g5,apply,factor-multiple,geometry,declared∉supported
math-g5-down-u02-k004,g5,apply,factor-multiple,geometry,declared∉supported
math-g5-mixed-u01-k002,g5,apply,logic,calc,declared∉supported
math-g5-mixed-u01-k006,g5,apply,segment-multiple,geometry,declared∉supported
math-g5-mixed-u02-k015,g5,apply,combination,calc,declared∉supported
math-g5-mixed-u02-k024,g5,apply,array-closed,geometry,declared∉supported
math-g5-mixed-u02-k025,g5,apply,array-radial,geometry,declared∉supported
math-g5-mixed-u02-k036,g5,apply,array-composite,geometry,declared∉supported
math-g5-mixed-u02-k039,g5,apply,logic,calc,declared∉supported
math-g5-mixed-u02-k050,g5,apply,parity,geometry,declared∉supported
math-g5-mixed-u02-k057,g5,apply,magic3,calc,declared∉supported
