kp_id,grade,category,rows,allow_rows,declared_types
math-g1-down-u01-k001,g1,no_rows,0,0,calc
math-g1-down-u02-k002,g1,has_rows_no_allow,2,0,calc|fill
math-g1-down-u02-k003,g1,has_rows_no_allow,2,0,calc|fill
math-g1-down-u03-k002,g1,has_rows_no_allow,2,0,fill|choice
math-g1-down-u03-k003,g1,has_rows_no_allow,2,0,fill|choice
math-g1-down-u04-k002,g1,has_rows_no_allow,2,0,calc|fill
math-g1-down-u04-k003,g1,has_rows_no_allow,2,0,calc|fill
math-g1-down-u04-k004,g1,has_rows_no_allow,2,0,calc|fill
math-g1-down-u05-k001,g1,has_rows_no_allow,2,0,calc|fill
math-g1-down-u05-k002,g1,has_rows_no_allow,2,0,calc|fill
math-g1-down-u06-k001,g1,has_rows_no_allow,1,0,apply
math-g1-down-u06-k002,g1,has_rows_no_allow,1,0,apply
math-g1-down-u07-k001,g1,has_rows_no_allow,1,0,apply
math-g1-mixed-u01-k001,g1,has_rows_no_allow,2,0,fill|choice
math-g1-mixed-u02-k001,g1,has_rows_no_allow,2,0,fill|choice
math-g1-mixed-u03-k001,g1,has_rows_no_allow,2,0,fill|choice
math-g1-mixed-u04-k001,g1,has_rows_no_allow,2,0,fill|choice
math-g1-mixed-u06-k001,g1,has_rows_no_allow,2,0,apply|choice
math-g1-up-u01-k002,g1,no_rows,0,0,fill|choice|classify
math-g1-up-u02-k001,g1,has_rows_no_allow,2,0,fill|choice
math-g1-up-u02-k002,g1,has_rows_no_allow,2,0,fill|choice
math-g1-up-u05-k001,g1,has_rows_no_allow,2,0,apply|fill
math-g1-up-u07-k001,g1,has_rows_no_allow,1,0,fill
math-g1-up-u08-k001,g1,no_rows,0,0,calc|fill
math-g1-up-u08-k002,g1,no_rows,0,0,calc|choice
math-g1-up-u08-k003,g1,no_rows,0,0,calc|apply
math-g1-up-u08-k004,g1,no_rows,0,0,calc|apply
math-g1-up-u08-k005,g1,has_rows_no_allow,2,0,calc|apply
math-g1-up-u10-k001,g1,has_rows_no_allow,2,0,calc|fill
math-g1-up-u10-k002,g1,has_rows_no_allow,2,0,fill|choice
math-g2-down-u02-k001,g2,no_rows,0,0,calc
math-g2-down-u02-k002,g2,no_rows,0,0,calc
math-g2-down-u02-k004,g2,no_rows,0,0,calc
math-g2-down-u03-k001,g2,no_rows,0,0,geometry
math-g2-down-u03-k002,g2,no_rows,0,0,geometry
math-g2-down-u04-k001,g2,has_rows_no_allow,1,0,geometry
math-g2-down-u04-k007,g2,has_rows_no_allow,1,0,calc
math-g2-down-u04-k008,g2,has_rows_no_allow,1,0,apply
math-g2-down-u06-k002,g2,has_rows_no_allow,1,0,geometry
math-g2-down-u06-k003,g2,has_rows_no_allow,1,0,geometry
math-g2-down-u06-k004,g2,has_rows_no_allow,1,0,geometry
math-g2-down-u06-k005,g2,has_rows_no_allow,1,0,geometry
math-g2-down-u06-k006,g2,has_rows_no_allow,1,0,geometry
math-g2-down-u06-k007,g2,has_rows_no_allow,1,0,fill
math-g2-down-u07-k003,g2,has_rows_no_allow,1,0,geometry
math-g2-down-u09-k001,g2,has_rows_no_allow,1,0,fill
math-g2-down-u09-k002,g2,has_rows_no_allow,1,0,apply
math-g2-down-u09-k003,g2,has_rows_no_allow,1,0,apply
math-g2-down-u10-k001,g2,has_rows_no_allow,1,0,fill
math-g2-down-u10-k002,g2,has_rows_no_allow,1,0,calc
math-g2-down-u10-k003,g2,has_rows_no_allow,1,0,calc
math-g2-mixed-u01-k001,g2,no_rows,0,0,geometry
math-g2-mixed-u01-k002,g2,no_rows,0,0,apply
math-g2-mixed-u01-k003,g2,no_rows,0,0,judge
math-g2-mixed-u01-k004,g2,no_rows,0,0,apply
math-g2-mixed-u01-k005,g2,no_rows,0,0,calc
math-g2-mixed-u01-k006,g2,no_rows,0,0,geometry
math-g2-mixed-u01-k007,g2,no_rows,0,0,choice
math-g2-up-u01-k003,g2,has_rows_no_allow,1,0,fill
math-g2-up-u01-k004,g2,has_rows_no_allow,1,0,fill
math-g2-up-u01-k006,g2,has_rows_no_allow,1,0,apply
math-g2-up-u01-k008,g2,has_rows_no_allow,1,0,geometry
math-g2-up-u02-k001,g2,no_rows,0,0,calc
math-g2-up-u02-k003,g2,has_rows_no_allow,3,0,geometry
math-g2-up-u02-k011,g2,has_rows_no_allow,1,0,calc
math-g2-up-u04-k003,g2,has_rows_no_allow,1,0,calc
math-g2-up-u04-k004,g2,has_rows_no_allow,1,0,apply
math-g2-up-u04-k005,g2,has_rows_no_allow,2,0,calc|fill
math-g2-up-u04-k006,g2,has_rows_no_allow,2,0,calc|fill
math-g2-up-u04-k007,g2,no_rows,0,0,calc|fill
math-g2-up-u04-k008,g2,no_rows,0,0,calc
math-g2-up-u04-k012,g2,has_rows_no_allow,1,0,apply
math-g2-up-u05-k001,g2,no_rows,0,0,geometry
math-g2-up-u06-k001,g2,has_rows_no_allow,1,0,geometry
math-g2-up-u06-k005,g2,has_rows_no_allow,1,0,geometry
math-g2-up-u07-k002,g2,has_rows_no_allow,1,0,geometry
math-g2-up-u08-k001,g2,has_rows_no_allow,1,0,classify
math-g2-up-u08-k002,g2,has_rows_no_allow,1,0,classify
math-g2-up-u08-k003,g2,has_rows_no_allow,1,0,classify
math-g2-up-u09-k001,g2,has_rows_no_allow,1,0,apply
math-g2-up-u09-k002,g2,has_rows_no_allow,1,0,fill
math-g2-up-u09-k003,g2,has_rows_no_allow,1,0,fill
math-g2-up-u09-k004,g2,has_rows_no_allow,1,0,fill
math-g2-up-u10-k001,g2,has_rows_no_allow,2,0,fill|judge
math-g2-up-u10-k002,g2,has_rows_no_allow,1,0,apply
math-g2-up-u11-k001,g2,has_rows_no_allow,1,0,fill
math-g2-up-u12-k001,g2,has_rows_no_allow,2,0,calc|fill
math-g2-up-u12-k002,g2,has_rows_no_allow,2,0,calc|fill
math-g2-up-u12-k003,g2,has_rows_no_allow,2,0,calc|fill
math-g2-up-u12-k004,g2,has_rows_no_allow,1,0,apply
math-g2-up-u12-k005,g2,has_rows_no_allow,2,0,calc|fill
math-g2-up-u12-k006,g2,has_rows_no_allow,2,0,calc|fill
math-g3-down-u01-k001,g3,no_rows,0,0,geometry
math-g3-down-u04-k001,g3,has_rows_no_allow,1,0,calc
math-g3-down-u06-k001,g3,has_rows_no_allow,1,0,geometry
math-g3-down-u07-k001,g3,has_rows_no_allow,1,0,geometry
math-g3-mixed-u01-k001,g3,no_rows,0,0,fill|choice|apply
math-g3-up-u01-k001,g3,no_rows,0,0,fill|choice|judge
math-g3-up-u01-k002,g3,has_rows_no_allow,1,0,geometry
math-g3-up-u03-k001,g3,no_rows,0,0,calc
math-g3-up-u04-k001,g3,has_rows_no_allow,1,0,calc
math-g3-up-u05-k001,g3,no_rows,0,0,calc
math-g3-up-u05-k002,g3,no_rows,0,0,calc
math-g3-up-u06-k002,g3,no_rows,0,0,geometry
math-g3-up-u07-k001,g3,has_rows_no_allow,1,0,geometry
math-g3-up-u07-k002,g3,has_rows_no_allow,3,0,calc|fill|apply
math-g4-down-u01-k002,g4,has_rows_no_allow,1,0,geometry
math-g4-down-u01-k003,g4,has_rows_no_allow,1,0,geometry
math-g4-down-u03-k001,g4,has_rows_no_allow,1,0,calc
math-g4-down-u03-k004,g4,has_rows_no_allow,1,0,judge
math-g4-down-u03-k005,g4,has_rows_no_allow,1,0,judge
math-g4-down-u03-k006,g4,has_rows_no_allow,1,0,choice
math-g4-down-u04-k001,g4,has_rows_no_allow,1,0,calc
math-g4-down-u04-k002,g4,has_rows_no_allow,1,0,calc
math-g4-down-u04-k003,g4,no_rows,0,0,geometry
math-g4-down-u04-k004,g4,no_rows,0,0,choice
math-g4-down-u05-k001,g4,no_rows,0,0,geometry
math-g4-down-u05-k002,g4,no_rows,0,0,geometry
math-g4-down-u06-k001,g4,has_rows_no_allow,1,0,calc
math-g4-down-u06-k003,g4,has_rows_no_allow,1,0,calc
math-g4-down-u06-k005,g4,has_rows_no_allow,1,0,apply
math-g4-down-u08-k001,g4,no_rows,0,0,apply
math-g4-down-u08-k002,g4,has_rows_no_allow,1,0,apply
math-g4-down-u08-k003,g4,has_rows_no_allow,1,0,apply
math-g4-down-u09-k001,g4,has_rows_no_allow,1,0,apply
math-g4-mixed-u01-k001,g4,no_rows,0,0,calc
math-g4-mixed-u01-k002,g4,no_rows,0,0,apply
math-g4-mixed-u01-k003,g4,no_rows,0,0,apply
math-g4-mixed-u01-k004,g4,no_rows,0,0,geometry
math-g4-mixed-u01-k005,g4,no_rows,0,0,geometry
math-g4-mixed-u01-k006,g4,no_rows,0,0,apply
math-g4-mixed-u02-k008,g4,no_rows,0,0,fill
math-g4-mixed-u02-k011,g4,no_rows,0,0,geometry
math-g4-mixed-u02-k014,g4,no_rows,0,0,geometry
math-g4-mixed-u02-k017,g4,has_rows_no_allow,1,0,geometry
math-g4-mixed-u02-k023,g4,has_rows_no_allow,1,0,geometry
math-g4-mixed-u02-k024,g4,has_rows_no_allow,1,0,geometry
math-g4-mixed-u02-k033,g4,no_rows,0,0,apply
math-g4-up-u01-k004,g4,has_rows_no_allow,1,0,geometry
math-g4-up-u01-k005,g4,has_rows_no_allow,1,0,apply
math-g4-up-u01-k006,g4,has_rows_no_allow,1,0,geometry
math-g4-up-u02-k001,g4,has_rows_no_allow,1,0,geometry
math-g4-up-u02-k002,g4,has_rows_no_allow,1,0,apply
math-g4-up-u04-k001,g4,has_rows_no_allow,1,0,apply
math-g4-up-u04-k005,g4,has_rows_no_allow,1,0,calc
math-g4-up-u04-k006,g4,has_rows_no_allow,1,0,apply
math-g4-up-u05-k001,g4,no_rows,0,0,geometry
math-g4-up-u05-k002,g4,no_rows,0,0,geometry
math-g4-up-u05-k003,g4,no_rows,0,0,geometry
math-g4-up-u06-k004,g4,has_rows_no_allow,1,0,apply
math-g4-up-u06-k005,g4,has_rows_no_allow,1,0,calc
math-g4-up-u08-k001,g4,has_rows_no_allow,1,0,apply
math-g4-up-u09-k001,g4,has_rows_no_allow,2,0,judge|choice
math-g5-down-u02-k003,g5,has_rows_no_allow,1,0,apply
math-g5-down-u02-k004,g5,has_rows_no_allow,1,0,apply
math-g5-down-u02-k005,g5,has_rows_no_allow,1,0,apply
