kp_id,grade,status,publication,unit,name
math-g2-down-u07-k001,g2,deprecated,draft,克和千克,填合适质量单位
math-g2-down-u07-k002,g2,deprecated,draft,克和千克,质量单位换算
math-g2-down-u07-k003,g2,deprecated,draft,克和千克,质量单位应用
math-g2-down-u09-k001,g2,active,draft,数量间的乘除关系,倍的认识
math-g2-down-u09-k002,g2,active,draft,数量间的乘除关系,求一个数的几倍是多少
math-g2-down-u09-k003,g2,active,draft,数量间的乘除关系,求一个数是另一个数的几倍
math-g2-down-u10-k001,g2,active,draft,万以内的加法和减法,加、减法各部分间的关系
math-g2-down-u10-k002,g2,active,draft,万以内的加法和减法,万以内加法（竖式）
math-g2-down-u10-k003,g2,active,draft,万以内的加法和减法,万以内减法（竖式）
math-g2-up-u01-k003,g2,active,draft,长度单位,认识厘米
math-g2-up-u01-k004,g2,active,draft,长度单位,认识米
math-g2-up-u01-k006,g2,active,draft,长度单位,用估量解决问题
math-g2-up-u03-k001,g2,deprecated,draft,角的初步认识,画指定角
math-g2-up-u03-k002,g2,deprecated,draft,角的初步认识,角的基本组成
math-g2-up-u03-k003,g2,deprecated,draft,角的初步认识,角的类型连线
math-g2-up-u03-k004,g2,deprecated,draft,角的初步认识,角的认识
math-g2-up-u04-k003,g2,active,draft,表内乘法(一),乘加、乘减
math-g2-up-u04-k004,g2,active,draft,表内乘法(一),用乘法解决购物问题
math-g2-up-u04-k005,g2,active,draft,表内乘法(一),2、3、4的乘法口诀
math-g2-up-u04-k006,g2,active,draft,表内乘法(一),5的乘法口诀
math-g2-up-u04-k007,g2,active,draft,表内乘法(一),6的乘法口诀
math-g2-up-u04-k012,g2,active,draft,表内乘法(一),选择一种运算解决问题
math-g2-up-u06-k001,g2,deprecated,draft,认识时间,时间认读
math-g2-up-u06-k002,g2,deprecated,draft,认识时间,时间单位换算
math-g2-up-u06-k003,g2,deprecated,draft,认识时间,填合适时间单位
math-g2-up-u06-k004,g2,deprecated,draft,认识时间,钟面画时间
math-g2-up-u06-k005,g2,deprecated,draft,认识时间,钟面与时间连线
math-g2-up-u08-k001,g2,active,draft,分类与整理,按给定标准分类
math-g2-up-u08-k002,g2,active,draft,分类与整理,逐层分类
math-g2-up-u08-k003,g2,active,draft,分类与整理,自选标准分类
math-g2-up-u09-k001,g2,active,draft,1~6的表内除法,除法的基本应用
math-g2-up-u09-k002,g2,active,draft,1~6的表内除法,除法各部分名称
math-g2-up-u09-k003,g2,active,draft,1~6的表内除法,平均分（包含）
math-g2-up-u09-k004,g2,active,draft,1~6的表内除法,平均分（等分）
math-g2-up-u10-k001,g2,active,draft,校园小导游,认识东、南、西、北
math-g2-up-u10-k002,g2,active,draft,校园小导游,设计导游路线
math-g2-up-u11-k001,g2,active,draft,身体上的尺子,测量身体上的长度
math-g2-up-u12-k001,g2,active,draft,7~9的表内乘、除法,7的乘法口诀
math-g2-up-u12-k002,g2,active,draft,7~9的表内乘、除法,8的乘法口诀
math-g2-up-u12-k003,g2,active,draft,7~9的表内乘、除法,9的乘法口诀
math-g2-up-u12-k004,g2,active,draft,7~9的表内乘、除法,解决连续两问的问题
math-g2-up-u12-k005,g2,active,draft,7~9的表内乘、除法,用7、8的乘法口诀求商
math-g2-up-u12-k006,g2,active,draft,7~9的表内乘、除法,用9的乘法口诀求商
math-g3-down-u01-k001,g3,deprecated,draft,位置与方向(一),【已废弃】位置与方向
math-g3-up-u04-k001,g3,deprecated,draft,倍的认识,倍的认识
math-g3-up-u07-k002,g3,inactive,draft,分数的初步认识,同分母分数加减法
math-g3-up-u08-k001,g3,deprecated,draft,数学广角──集合,集合思想
math-g5-up-u05-k001,g5,deprecated,draft,简易方程,【已废弃】方程
math-g5-up-u05-k002,g5,deprecated,draft,简易方程,【已废弃】方程概念
math-g5-up-u05-k003,g5,deprecated,draft,简易方程,【已废弃】方程概念与等式的性质
math-g5-up-u05-k004,g5,deprecated,draft,简易方程,【已废弃】方程与解连线
math-g5-up-u05-k005,g5,deprecated,draft,简易方程,【已废弃】简易方程口算
math-g5-up-u05-k006,g5,deprecated,draft,简易方程,【已废弃】列方程解决问题
math-g5-up-u05-k007,g5,deprecated,draft,简易方程,【已废弃】天平平衡图（列方程）
math-g5-up-u05-k008,g5,inactive,draft,简易方程,用字母表示数
math-g5-up-u07-k001,g5,deprecated,draft,数学广角──植树问题,【已废弃】植树问题
math-g5-up-u07-k002,g5,deprecated,draft,数学广角──植树问题,【已废弃】植树问题（三种情况）
math-g5-up-u07-k003,g5,deprecated,draft,数学广角──植树问题,【已废弃】植树问题示意图
