risk,grade,module,pointId,pointName,pointDifficulty,pointStatus,prereqId,prereqName,prereqDifficulty,prereqStatus,sameModule
LOW,1,M0,g1-m0-make-ten-ping,平十法,1,active,g1-m0-make-ten,凑十法,1,active,Y
LOW,1,M0,g1-m0-make-ten-po,破十法,1,active,g1-m0-make-ten,凑十法,1,active,Y
LOW,1,M1,g1-m1-addsub-20,20 以内加减法,1,active,g1-m4-count,数数与顺序,1,active,N
LOW,1,M1,g1-m1-addsub-20,20 以内加减法,1,active,g1-m4-compose-digit,数的组成与数位,1,active,N
LOW,1,M4,g1-m4-compose-digit,数的组成与数位,1,active,g1-m4-count,数数与顺序,1,active,Y
LOW,1,M4,g1-m4-compare,比大小,1,active,g1-m4-count,数数与顺序,1,active,Y
LOW,1,M4,g1-m4-compare,比大小,1,active,g1-m4-compose-digit,数的组成与数位,1,active,Y
LOW,1,M4,g1-m4-clock-hour,认识钟表（整时）,1,active,g1-m4-count,数数与顺序,1,active,Y
LOW,1,M4,g1-m4-patterns,找规律,1,active,g1-m4-count,数数与顺序,1,active,Y
LOW,1,M4,g1-m4-money,认识人民币,1,active,g1-m4-count,数数与顺序,1,active,Y
LOW,1,M4,g1-m4-money,认识人民币,1,active,g1-m1-addsub-20,20 以内加减法,1,active,N
LOW,1,M6,g1-m6-flat-shapes,认识平面图形,1,active,g1-m6-solid-shapes,认识立体图形,1,active,Y
LOW,1,M6,g1-m6-shape-compose,图形拼组,1,active,g1-m6-flat-shapes,认识平面图形,1,active,Y
LOW,1,M7,g1-m7-picture-equations,看图列式,1,active,g1-m1-addsub-20,20 以内加减法,1,active,N
LOW,1,M8,g1-m8-chain-mixed,连加连减与加减混合,1,active,g1-m1-addsub-20,20 以内加减法,1,active,N
LOW,1,M8,g1-m8-solve-problems,解决问题,1,active,g1-m1-addsub-20,20 以内加减法,1,active,N
LOW,1,M9,g1-m9-stats-table,填写简单统计表,1,active,g1-m9-classify,分类与整理,1,active,Y
LOW,1,M9,g1-m9-pictograph,象形统计图,1,active,g1-m9-classify,分类与整理,1,active,Y
LOW,1,M9,g1-m9-pictograph,象形统计图,1,active,g1-m9-stats-table,填写简单统计表,1,active,Y
LOW,2,M1,g2-m1-remainder,有余数除法,1,active,g2-m1-muldiv,表内乘除法,1,active,Y
LOW,2,M1,g2-m1-mixed,混合运算,1,active,g2-m1-addsub-100,100 以内加减法,1,active,Y
LOW,2,M1,g2-m1-mixed,混合运算,1,active,g2-m1-muldiv,表内乘除法,1,active,Y
LOW,2,M10,g2-m10-sudoku3,3×3 数独,1,active,g2-m10-logic-reasoning,简单逻辑推理,1,active,Y
LOW,2,M4,g2-m4-approx,近似数,1,active,g2-m4-readwrite,万以内数的读写,1,active,Y
LOW,2,M4,g2-m4-fill-unit,填合适单位,1,active,g2-m4-unit-convert,单位换算,1,active,Y
LOW,2,M6,g2-m6-angles,角的初步认识,1,active,g2-m6-shapes-2,认识图形,1,active,Y
LOW,2,M6,g2-m6-motion,图形的运动,1,active,g2-m6-shapes-2,认识图形,1,active,Y
LOW,2,M6,g2-m6-grid,方格纸,1,active,g2-m6-shapes-2,认识图形,1,active,Y
LOW,2,M8,g2-m8-solve-problems,解决问题,1,active,g2-m1-addsub-100,100 以内加减法,1,active,N
LOW,2,M9,g2-m9-data-question,根据统计结果回答问题,1,active,g2-m9-data-tally,数据收集与整理,1,active,Y
LOW,3,M1,g3-m1-g3-mul-2digit,两位数乘两位数,1,active,g3-m1-g3-mul-multi1,多位数乘一位数,1,active,Y
LOW,3,M10,g3-m10-g3-set,集合思想,1,active,g3-m10-g3-combination,搭配问题,1,active,Y
LOW,3,M4,g3-m4-g3-year-month,年、月、日,1,active,g3-m4-g3-time,时、分、秒,1,active,Y
LOW,3,M6,g3-m6-g3-area,面积,1,active,g3-m6-g3-perimeter,长方形正方形的周长,1,active,Y
LOW,4,C1,g4-c1-c1-vertical,竖式数字谜,3,active,g4-m2-g4-v-mul3x2,三位数乘两位数,1,active,N
LOW,4,C1,g4-c1-c1-vertical,竖式数字谜,3,active,g4-m2-g4-v-div2,除数是两位数的除法,1,active,N
LOW,4,C1,g4-c1-c1-horizontal,横式数字谜,3,active,g4-m3-g4-mix-order,四则混合运算顺序,1,active,N
LOW,4,C1,g4-c1-c1-symbol,符号代表数,3,active,g4-m4-g4-fill-op,四则运算的意义与关系、0 的运算,1,active,N
LOW,4,C1,g4-c1-c1-array,数阵图,3,active,g4-m3-g4-mix-addlaw,加法运算律简便计算,1,active,N
LOW,4,C1,g4-c1-c1-magic,幻方,3,active,g4-c1-c1-array,数阵图,3,active,Y
LOW,4,C3,g4-c3-c3-perm,排列组合初步,3,active,g4-c3-c3-am,加法与乘法原理,3,active,Y
LOW,4,C3,g4-c3-c3-worst,最不利原则,3,active,g4-c3-c3-enum,枚举法,3,active,Y
LOW,4,C4,g4-c4-c4-cutfill,割补法,3,active,g4-c4-c4-pa,周长与面积,3,active,Y
LOW,4,C4,g4-c4-c4-angle,角度初步,3,active,g4-m4-g4-fill-angle,角的度量与分类,1,active,N
LOW,4,C5,g4-c5-c5-basic,基本行程,3,active,g4-m8-g4-word-speed,乘法问题（速度×时间=路程）,1,active,N
LOW,4,C5,g4-c5-c5-meet,相遇问题,3,active,g4-c5-c5-basic,基本行程,3,active,Y
LOW,4,C5,g4-c5-c5-chase,追及问题,3,active,g4-c5-c5-basic,基本行程,3,active,Y
LOW,4,C5,g4-c5-c5-train,火车过桥,3,active,g4-c5-c5-basic,基本行程,3,active,Y
